t,x,y,z
9.043,-0.0869,-0.0278,-0.5059
9.062,-0.0846,-0.0255,-0.5075
9.083,-0.0821,-0.0234,-0.5092
9.103,-0.0794,-0.0213,-0.5108
9.132,-0.0764,-0.0195,-0.5122
9.152,-0.0732,-0.0178,-0.5135
9.172,-0.0698,-0.0163,-0.5146
9.191,-0.0662,-0.0147,-0.5156
9.203,-0.0623,-0.0132,-0.5164
9.223,-0.0584,-0.0117,-0.517
9.243,-0.0543,-0.0104,-0.5178
9.263,-0.0504,-0.009,-0.5184
9.291,-0.0465,-0.0076,-0.5191
9.311,-0.0426,-0.006,-0.5197
9.323,-0.0388,-0.0046,-0.5202
9.347,-0.0352,-0.0029,-0.5206
9.366,-0.0318,-0.0013,-0.5208
9.386,-0.0285,0.0002,-0.521
9.403,-0.0254,0.0017,-0.521
9.423,-0.0228,0.0034,-0.5208
9.443,-0.0203,0.0051,-0.5203
9.464,-0.0181,0.0069,-0.5198
9.492,-0.016,0.0088,-0.5192
9.512,-0.0142,0.0108,-0.5185
9.532,-0.0126,0.0129,-0.5177
9.543,-0.0111,0.0149,-0.5169
9.563,-0.0097,0.017,-0.5162
9.583,-0.0085,0.0191,-0.5154
9.603,-0.0075,0.0213,-0.5148
9.623,-0.0064,0.0236,-0.5142
9.648,-0.0056,0.0261,-0.5138
9.668,-0.0049,0.0286,-0.5135
9.688,-0.0042,0.0312,-0.5134
9.708,-0.0036,0.0338,-0.5134
9.728,-0.0028,0.0365,-0.5135
9.743,-0.0021,0.0392,-0.5137
9.763,-0.0014,0.0417,-0.5138
9.784,-0.0007,0.0441,-0.5141
9.803,-0.0002,0.0466,-0.5144
9.824,0.0003,0.0491,-0.5146
9.848,0.0008,0.0515,-0.515
9.868,0.0014,0.0537,-0.5157
9.888,0.0018,0.056,-0.5166
9.908,0.0021,0.0581,-0.5174
9.924,0.0023,0.0604,-0.518
9.944,0.0028,0.0625,-0.5188
9.964,0.0033,0.0644,-0.5195
9.991,0.0039,0.0663,-0.5202
10.011,0.0043,0.068,-0.5211
10.031,0.0049,0.0695,-0.5222
10.051,0.0054,0.071,-0.5232
10.071,0.0058,0.0724,-0.5243
10.091,0.0064,0.0738,-0.5257
10.103,0.0068,0.075,-0.5271
10.124,0.0072,0.0762,-0.5284
10.143,0.0078,0.0774,-0.5295
10.163,0.0084,0.0785,-0.5306
10.183,0.0091,0.0797,-0.5316
10.203,0.0098,0.0809,-0.5322
10.223,0.0105,0.0821,-0.5319
10.244,0.0113,0.083,-0.531
10.264,0.0122,0.0838,-0.5298
10.284,0.0129,0.0845,-0.5285
10.304,0.0133,0.0856,-0.5267
10.324,0.0136,0.0866,-0.5248
10.343,0.0138,0.0875,-0.5229
10.363,0.0136,0.0884,-0.5209
10.384,0.0132,0.0895,-0.5194
10.41,0.0125,0.0904,-0.5178
10.43,0.0116,0.0913,-0.5164
10.444,0.0109,0.0921,-0.5152
10.464,0.01,0.0929,-0.5143
10.483,0.0088,0.0936,-0.5134
10.503,0.0077,0.0938,-0.5128
10.523,0.0063,0.094,-0.5124
10.543,0.0046,0.0937,-0.5119
10.568,0.0032,0.0932,-0.5116
10.584,0.0015,0.0922,-0.5112
10.604,0.0001,0.0907,-0.5106
10.624,-0.0013,0.089,-0.5097
10.644,-0.003,0.087,-0.5085
10.664,-0.0046,0.0849,-0.5072
10.691,-0.006,0.083,-0.5058
10.711,-0.0071,0.0811,-0.5044
10.731,-0.0081,0.0794,-0.5032
10.751,-0.009,0.078,-0.502
10.764,-0.01,0.0768,-0.5009
10.784,-0.0112,0.0761,-0.4998
10.803,-0.0121,0.0756,-0.4988
10.824,-0.0128,0.0754,-0.4979
10.843,-0.0136,0.0754,-0.497
10.863,-0.0142,0.0757,-0.4959
10.884,-0.0146,0.0759,-0.4944
10.904,-0.0147,0.0761,-0.4927
10.929,-0.0148,0.0762,-0.4905
10.949,-0.0146,0.076,-0.4882
10.964,-0.0144,0.0756,-0.4852
10.984,-0.0142,0.0751,-0.4811
11.003,-0.014,0.0745,-0.4764
11.024,-0.0136,0.0736,-0.4711
11.043,-0.0133,0.0729,-0.4652
11.072,-0.0131,0.0724,-0.459
11.085,-0.0129,0.0718,-0.4529
11.104,-0.0128,0.0714,-0.4472
11.124,-0.0131,0.0711,-0.4419
11.144,-0.0134,0.071,-0.4372
11.164,-0.0138,0.0708,-0.433
11.184,-0.0142,0.0707,-0.4292
11.204,-0.0149,0.0704,-0.4259
11.224,-0.0158,0.0699,-0.423
11.244,-0.0167,0.0693,-0.4207
11.274,-0.0175,0.0685,-0.4187
11.284,-0.0182,0.0674,-0.4168
11.303,-0.0189,0.0663,-0.4148
11.324,-0.0196,0.0649,-0.4126
11.344,-0.0202,0.0631,-0.4104
11.364,-0.0207,0.0613,-0.4077
11.39,-0.0214,0.0593,-0.4049
11.41,-0.0222,0.0573,-0.4022
11.43,-0.0232,0.0552,-0.3999
11.45,-0.0245,0.0532,-0.3982
11.463,-0.0261,0.0513,-0.3971
11.484,-0.0281,0.0495,-0.3968
11.503,-0.0301,0.0479,-0.397
11.524,-0.0323,0.0462,-0.3976
11.544,-0.0349,0.0446,-0.3985
11.563,-0.0375,0.0431,-0.3995
11.591,-0.0404,0.042,-0.3995
11.611,-0.0434,0.0414,-0.3976
11.631,-0.0461,0.0408,-0.3936
11.651,-0.0487,0.0403,-0.3877
11.664,-0.0511,0.0399,-0.38
11.684,-0.0532,0.0394,-0.3706
11.704,-0.0552,0.0391,-0.3597
11.724,-0.057,0.039,-0.3473
11.751,-0.0582,0.0386,-0.3337
11.771,-0.0592,0.0382,-0.3193
11.784,-0.0599,0.0379,-0.3041
11.805,-0.0604,0.0377,-0.2883
11.825,-0.0605,0.0372,-0.2723
